activity,resource,n,n_clean,n_outliers,outlier_rate,mean,std,median,min,max,mean_clean,std_clean,planned,service_time,queue_time,failures,q1,q3,iqr,lower_fence,upper_fence
/mm/drill,mm_2,7,7,0,0.0,11.12642857006618,5.463390941108518,15.433000087738037,5.281000137329102,15.657000064849854,11.12642857006618,5.463390941108518,17.714285714285715,16.779014571428572,5.652586001362392,0,5.289000034332275,15.467999815940857,10.178999781608582,-9.979499638080597,30.73649948835373
/mm/mill,mm_1,15,13,2,0.13333333333333333,5.800133307774861,2.29753979945815,5.125,4.906000137329102,14.047999858856201,5.1430768966674805,0.1209637785848387,5.6,11.830187466666665,6.030054158891804,0,5.085499882698059,5.28249990940094,0.19700002670288086,4.789999842643738,5.577999949455261
/mm/mill,mm_2,4,4,0,0.0,14.402000069618225,0.2066705362245345,14.36650013923645,14.218999862670898,14.656000137329102,14.402000069618225,0.2066705362245345,14.0,19.499951250000002,5.0979511803817745,0,14.24150002002716,14.527000188827515,0.285500168800354,13.81324976682663,14.955250442028046
/mm/transport_from_to,mm_1,1,1,0,0.0,23.046000003814697,0.0,23.046000003814697,23.046000003814697,23.046000003814697,23.046000003814697,0.0,12.0,29.562497,6.516496996185303,0,23.046000003814697,23.046000003814697,0.0,23.046000003814697,23.046000003814697
/mm/transport_from_to,mm_2,2,2,0,0.0,11.98449993133545,0.3302188722089143,11.98449993133545,11.750999927520752,12.217999935150146,11.98449993133545,0.3302188722089143,12.0,19.3437925,7.35929256866455,0,11.8677499294281,12.101249933242798,0.23350000381469727,11.517499923706055,12.451499938964844
/ov/burn,ov_1,21,21,0,0.0,26.790095170338947,5.27297390018184,26.09599995613098,20.780999898910522,37.501999855041504,26.790095170338947,5.27297390018184,222.0,33.272402380952386,6.482307210613432,0,21.312000036239624,30.764999866485596,9.452999830245972,7.1325002908706665,44.94449961185455
/ov/burn,ov_2,12,10,2,0.16666666666666666,47.03141667445501,54.722969416129835,34.406999945640564,9.25,218.68799996376038,33.64390001296997,5.322521779122323,222.0,53.29886,6.267443325544993,0,27.892500042915344,37.81849992275238,9.925999879837036,13.00350022315979,52.707499742507935
/ov/temper,ov_1,14,14,0,0.0,52.68657141072409,1.284561505612415,52.40649998188019,50.9210000038147,54.35899996757507,52.68657141072409,1.284561505612415,56.0,58.736723357142864,6.050151946418763,0,51.818499982357025,53.980250000953674,2.161750018596649,48.57587495446205,57.22287502884865
/pm/punch_gill,pm_1,3,3,0,0.0,27.750333388646443,0.4631742780276813,27.513999938964844,27.45300006866455,28.284000158309937,27.750333388646443,0.4631742780276813,35.0,31.239517666666668,3.489184278020223,0,27.483500003814697,27.89900004863739,0.41550004482269287,26.860249936580658,28.52225011587143
/pm/punch_recesses,pm_1,5,5,0,0.0,23.346999979019166,0.18322797136494384,23.375,23.157000064849854,23.608999967575073,23.346999979019166,0.18322797136494384,39.0,26.524986000000002,3.1779860209808346,0,23.187999963760376,23.405999898910522,0.21799993515014648,22.861000061035156,23.732999801635742
/pm/punch_ribbing,pm_1,5,4,1,0.2,24.746399974823,3.7032869792430807,23.186000108718872,22.82800006866455,31.359999895095825,23.09299999475479,0.24678460293303278,39.0,27.9218524,3.1754524251770015,0,22.967999935150146,23.389999866485596,0.4219999313354492,22.335000038146973,24.02299976348877
/sm/sort,sm_1,10,9,1,0.1,16.923000049591064,11.152918222862363,12.398000001907349,10.775000095367432,47.39100003242493,13.53766671816508,3.317470895406624,12.0,20.518732200000002,3.595732150408935,0,11.082250118255615,17.766250133514404,6.684000015258789,1.0562500953674316,27.792250156402588
/sm/sort,sm_2,6,6,0,0.0,9.433500011761984,0.7805277418317567,9.351499915122986,8.727999925613403,10.375,9.433500011761984,0.7805277418317567,11.0,13.562503833333333,4.1290038215713505,0,8.732750058174133,10.039250135421753,1.3065000772476196,6.772999942302704,11.999000251293182
/sm/transport,sm_1,13,11,2,0.15384615384615385,23.197923055061928,7.429011776546408,20.6560001373291,18.07800006866455,44.46799993515015,20.481181794946846,2.3340219615876583,18.0,26.612976846153842,3.415053791091919,0,19.155999898910522,23.258999824523926,4.102999925613403,13.001500010490417,29.41349971294403
/sm/transport,sm_2,8,8,0,0.0,14.457375019788742,0.25294088697917405,14.444999933242798,14.093000173568726,14.828999996185303,14.457375019788742,0.25294088697917405,15.0,18.152331125,3.694956105211258,0,14.253000140190125,14.663749933242798,0.41074979305267334,13.636875450611115,15.279874622821808
/vgr/pick_up_and_transport,vgr_1,85,85,0,0.0,36.62030589159797,13.782683912881955,41.593000173568726,11.02999997138977,55.312000036239624,36.62030589159797,13.782683912881955,35.71764705882353,70.0345036352941,33.41419774369614,1,20.75,48.29800009727478,27.54800009727478,-20.57200014591217,89.62000024318695
/vgr/pick_up_and_transport,vgr_2,42,42,0,0.0,40.827833328928264,4.225333740080504,43.31049990653992,31.33199977874756,46.187999963760376,40.827833328928264,4.225333740080504,38.0,51.15528947619047,10.32745614726221,0,36.76900011301041,43.92599993944168,7.156999826431274,26.033500373363495,54.66149967908859
/wt/pick_up_and_transport,wt_1,27,25,2,0.07407407407407407,26.18785180868926,0.5486588807626618,26.033999919891357,25.91699981689453,28.88699984550476,26.072959966659546,0.08691638940592335,22.0,38.80670885185185,12.618857043162594,4,26.03000009059906,26.141499996185303,0.11149990558624268,25.862750232219696,26.308749854564667
/wt/pick_up_and_transport,wt_2,14,13,1,0.07142857142857142,29.49842858314514,0.12748438269316814,29.487499952316284,29.328999996185303,29.85199999809265,29.471230781995335,0.07992203038721186,27.0,37.67584542857143,8.177416845426288,0,29.422249972820282,29.531750082969666,0.10950011014938354,29.257999807596207,29.69600024819374
